Node,Degree,Paradox_Strength
236,36,1.0
186,43,0.9394267171444024
122,62,0.5855879292403746
285,46,0.8520793950850662
24,15,1.3511111111111112
346,26,0.7248520710059172
271,72,0.49961419753086417
304,54,0.6862139917695473
176,13,3.5976331360946743
9,56,0.642219387755102
130,15,1.9822222222222223
329,29,0.8977407847800238
204,21,1.0680272108843536
213,38,0.829639889196676
252,64,0.5771484375
332,42,0.9348072562358276
82,33,0.9742883379247015
65,11,3.3388429752066116
276,17,2.7785467128027683
26,67,0.5482290042325685
280,42,0.9370748299319727
272,44,0.806301652892562
211,29,1.2699167657550536
199,46,0.8360113421550095
84,12,2.3402777777777777
133,17,2.193771626297578
62,25,1.5728
239,58,0.6471462544589774
172,40,0.85625
322,71,0.4501091053362428
53,30,0.7
3,16,2.55078125
170,45,0.8785185185185185
175,16,0.765625
46,4,2.875
56,77,0.44476302917861354
254,16,1.234375
194,18,1.08641975308642
231,20,1.8175000000000001
117,5,4.84
127,15,1.2888888888888888
135,9,1.5925925925925926
103,15,2.96
188,47,0.8139429606156633
23,16,0.44921875
116,16,0.93359375
73,9,2.45679012345679
299,19,0.9750692520775623
288,3,18.77777777777778
315,55,0.6406611570247933
119,61,0.5106154259607633
323,38,1.0394736842105263
48,21,1.346938775510204
57,14,1.739795918367347
200,56,0.673469387755102
98,48,0.8615451388888888
313,36,1.0424382716049383
63,5,10.2
344,8,4.546875
67,75,0.4686222222222222
118,35,1.0832653061224489
325,38,1.123961218836565
277,64,0.556396484375
134,18,2.5833333333333335
270,3,14.0
76,2,17.75
36,10,1.4
223,26,1.7855029585798816
274,13,2.6094674556213016
88,19,1.5069252077562327
21,64,0.54541015625
339,26,0.878698224852071
108,12,1.7708333333333333
197,15,1.3022222222222224
169,37,1.056245434623813
275,9,0.8641975308641975
273,8,1.046875
83,6,3.611111111111111
28,12,1.277777777777778
312,25,0.4736
242,23,0.9735349716446124
214,16,0.8984375
20,14,1.0204081632653061
307,3,5.888888888888889
71,2,2.75
333,7,1.8163265306122447
207,2,37.0
168,10,2.66
308,23,1.6446124763705106
341,11,4.338842975206611
128,27,1.6886145404663924
334,27,1.4554183813443073
238,22,1.7272727272727273
265,26,1.5177514792899407
141,27,1.5404663923182442
78,8,1.046875
345,15,2.902222222222222
317,6,3.861111111111111
158,24,1.4774305555555556
38,8,3.46875
302,19,1.1246537396121883
27,4,7.625
54,7,4.020408163265306
139,8,1.921875
109,36,1.1728395061728394
291,35,1.0048979591836735
142,42,0.9699546485260772
203,56,0.6776147959183673
105,13,3.248520710059172
232,24,1.8368055555555556
64,6,2.75
217,7,2.5102040816326534
248,20,2.1
126,6,3.972222222222222
224,27,1.51440329218107
261,37,0.926953981008035
283,4,7.5625
144,14,1.096938775510204
226,13,1.195266272189349
290,13,3.9644970414201186
25,68,0.4615051903114187
342,33,1.2736455463728191
146,9,3.148148148148148
300,6,3.4166666666666665
94,21,1.0997732426303855
1,16,1.78515625
184,17,1.1453287197231834
159,13,2.0355029585798814
149,13,1.1005917159763314
13,30,1.46
59,18,2.25
17,12,1.3680555555555556
326,18,0.8117283950617283
80,22,0.9256198347107438
187,15,1.28
161,24,1.921875
66,14,3.704081632653061
31,22,1.615702479338843
136,21,1.6734693877551021
7,19,1.2216066481994459
255,1,3.0
49,3,0.6666666666666666
320,20,0.835
85,13,2.6804733727810652
246,13,2.745562130177515
123,17,2.6505190311418687
284,15,1.3822222222222222
140,10,1.7100000000000002
137,15,0.8222222222222223
343,17,0.8373702422145328
115,20,0.665
297,24,2.138888888888889
185,25,1.6768
104,31,1.4162330905306972
324,25,1.3792
171,7,1.9387755102040816
111,13,1.0236686390532546
14,14,1.1173469387755102
310,12,0.8888888888888888
32,5,1.92
30,16,2.515625
222,10,3.6100000000000003
92,20,0.9475
72,23,1.8676748582230625
40,43,0.8658734451054624
125,3,13.222222222222221
266,17,1.152249134948097
212,17,2.6470588235294117
278,9,1.074074074074074
340,5,4.84
237,6,3.611111111111111
311,6,4.75
309,9,1.5925925925925926
330,15,1.368888888888889
230,8,1.015625
70,1,8.0
16,8,3.859375
249,23,0.9678638941398866
39,14,2.561224489795918
251,13,1.6035502958579881
10,9,5.37037037037037
55,16,3.28515625
228,2,5.0
69,9,4.864197530864198
113,39,1.0933596318211702
258,14,2.1683673469387754
257,17,2.134948096885813
196,12,2.263888888888889
156,11,2.9504132231404956
303,20,1.9125
286,1,2.0
81,2,1.5
174,3,2.111111111111111
293,2,4.5
33,1,1.0
42,1,1.0
347,6,3.472222222222222
2,9,1.7654320987654322
281,15,1.448888888888889
263,6,1.6944444444444444
279,1,13.0
51,6,3.611111111111111
338,6,6.527777777777778
162,7,2.2448979591836733
19,15,0.7466666666666666
75,13,3.5680473372781067
218,8,1.046875
268,10,4.029999999999999
314,12,2.6527777777777777
5,12,2.076388888888889
178,12,2.263888888888889
192,4,1.5625
243,7,1.836734693877551
195,8,1.046875
181,9,0.8641975308641975
8,7,0.673469387755102
245,4,2.3125
129,6,3.277777777777778
328,8,1.046875
331,19,2.0332409972299166
150,10,1.81
101,18,1.0648148148148149
99,12,0.8055555555555555
296,6,1.6944444444444444
102,5,2.16
318,10,3.7600000000000002
163,5,4.279999999999999
173,5,1.3599999999999999
165,10,3.5100000000000002
121,11,2.8264462809917354
306,8,1.046875
177,10,0.9400000000000001
180,19,1.0193905817174516
87,12,2.4097222222222223
189,6,2.75
60,7,7.081632653061225
259,7,0.673469387755102
45,11,3.611570247933884
58,3,1.5555555555555556
269,5,4.12
167,6,1.5
227,14,0.6836734693877551
96,8,2.703125
91,7,0.673469387755102
143,11,0.7520661157024794
61,2,5.0
93,7,1.673469387755102
41,23,0.5614366729678639
235,4,9.3125
6,5,1.16
89,7,0.9183673469387755
107,2,2.5
79,11,5.24793388429752
208,6,8.194444444444445
132,15,2.2088888888888887
221,7,6.857142857142857
301,2,6.5
250,4,12.375
106,7,3.693877551020408
29,12,2.381944444444444
337,8,1.375
100,8,2.15625
110,4,1.5625
264,4,1.5625
225,9,1.1234567901234567
86,5,2.32
152,4,3.3125
148,19,1.8060941828254848
295,9,3.790123456790124
201,3,2.3333333333333335
289,3,5.111111111111112
260,7,3.7142857142857144
160,1,7.0
321,2,6.75
68,8,1.3125
131,6,1.8055555555555556
22,10,2.34
298,10,4.35
262,3,5.333333333333333
220,3,5.333333333333333
234,1,58.0
44,5,3.6799999999999997
50,10,3.4200000000000004
193,4,1.4375
97,2,2.5
124,3,7.0
112,2,4.5
90,1,2.0
179,2,0.5
216,1,7.0
151,6,2.777777777777778
145,1,2.0
157,2,1.25
4,9,0.8641975308641975
327,3,2.111111111111111
95,5,1.08
120,3,9.666666666666666
247,2,3.75
190,3,3.222222222222222
282,1,1.0
244,1,1.0
319,7,0.9183673469387755
233,1,1.0
256,1,1.0
166,3,1.0
202,3,4.111111111111112
155,2,4.5
191,2,11.25
147,5,1.16
206,3,3.3333333333333335
229,5,5.84
138,1,15.0
164,2,16.25
240,2,6.5
77,5,4.4799999999999995
219,5,1.0
305,1,25.0
153,1,42.0
154,1,5.0
198,1,3.0
182,2,1.0
336,2,21.75
241,1,3.0
294,2,17.25
253,2,2.5
267,1,16.0
316,1,12.0
205,1,4.0
47,1,2.0
183,1,17.0
52,1,4.0
34,1,5.0
35,1,11.0
